bi_root,tri_root,core_meaning,original_chapter
صت,صوت,امتداد الشيء قوياً مستقيماً لصدوره بضغط أو وقوع ضغط عليه,ص ت
صح,صحح,كون الشيء متماسكًا على ما ينبغي من حاله عرضًا وجفافًا دون تشقق أو نحوه,ص ح
صح,صوح,بلوغ الشيء أقصى غايته نفاذًا من العمق ارتفاعًا أو نموًا مع قوة او جفاف,ص ح
صح,صحب,لزوق الشيء بكثافة أو قوة على ظاهر أصله وملازمته إياه,ص ح
صح,صحف,انبساط جرم الشيء وتسطحه مكشوفًا,ص ح
صخ,صخخ,دخول الشيء الحاد في جرم الشيء الملتحم الرخو بشدة ووحدة,ص خ
صخ,صخر,صلابة بالغة مع جفاف وحدة وخشونة ( من نفاذ الطراءة من الشيء),ص خ
صد,صدد,اعتراض بقوي أو كثيف يَرُدُّ المقبل أو يمنعه,ص د
صد,صيد,حَوْزٌ وإمساك بتمكن شديد لما يتاح,ص د
صد,وصد,شد أشياء - أو اشتدادها - بعضها إلى بعض ( في القاع) مع جمع أو حبس ,ص د
صد,أصد,إحكام حجب الشيء وحده بما يسد المنفذ إليه,ص د
صد,صدر,مُقدم جسم الشيء أو أعلاه الذي يبدأ منه أضخمُه,ص د
صد,صدع,شَقُّ دقيق يفصِلُ الشيء الصلب أو الملتحم ويخترقه,ص د
صد,صدف,تجافٍ عن الانطباق لانحراف,ص د
صد,صدق,صلابة أو قوة في باطن الشيء مع شدة تماسك جرمه,ص د
صر,صرر,تضام والتئام أو تداخل شديد يمنع الانتشار,ص ر
صر,صور,حدود تبين هيئة الشيء بالانعطاف عليه وضمه وتمييزه عن غيره,ص ر
صر,صير,الالتواء أو التحوّل إلى غاية أو مجمع,ص ر
صر,أصر,شدٌّ للحبس، أو الجمع,ص ر
صر,صرح,انكشاف الشيء وظهوره قويا واضحًا لخلوصه مما يغشاه,ص ر
صر,صرخ,صياح حاد نافذ,ص ر
صر,صرع,تمدد الشيء إزاء شيء آخر أو تفرعًا منه مع استرخاء أو ضعف,ص ر
صر,صرف,تحول مع حدة,ص ر
صر,صرم,انفصال أو انقطاع بحدة: حسم أو جفاف أو جفاء,ص ر
صع,صعع,تسيب وتفرق لما كان غليظاً شديداً أو مجتمعاً فينتشر بلا كثافة,ص ع
صع,صوع,إفراغ من الكثيف يتيح الاحتواء والحوز أو يعد له,ص ع
صع,صعد,ارتفاع بثقل أو تحبس أي قليلاً قليلاً,ص ع
صع,صعر,المواجهة بالعريض الجانبي من الوجه,ص ع
صع,صعق,اختراق أثناء الشيء وعمقه فينهار، أو انهيار الشيئ،  لذهاب الشدة أثنائه,ص ع
صغ,صغصغ,تخلل أثناء الشيء بما له رقة فيلين مع كثافة,ص غ
صغ,صغو,ميلُ الشيء عن اتجاه الارتفاع إلى جانب,ص غ
صغ,صغر,انخفاض جرم الشيء أي هبوط سَمْكِهِ,ص غ
صف,صفف,امتداد أشياء سطرًا مُستعرضًا مستويًا رقيقًا ( اي غير كثيف أو غليظ),ص ف
صف,صفو,خلو الشيء من الخشونة والكَدَرِ وما إليهما,ص ف
صف,صوف,الصوف المعروف: ما يثبت على جلد الغنم كأدق الشعر بأكثف ما يكون,ص ف
صف,صيف,عدول الشيء عن الوجه المفترض جريانه عليه اطرادًا - اي تحوله عن ذلك الوجه,ص ف
صف,وصف,اتخاذ الشيء هيأته التامة مع رقة - أي استواء، أوجودة حال، وخلو من الغلظ,ص ف
صف,صفح,الجانب العريض المنبسط من جرم الشيء,ص ف
صف,صفد,شَدُّ أشياء ممتدة، وضمها بعضها إلى بعض بقوة,ص ف
صف,صفر,خلو باطن الشيء,ص ف
صف,صفن,جمع أشياء مع التنسيق والتوازن بينها في نحو الكيس جمعا تاما,ص ف
صك,صكك,التصاق صلاب دقيقة أو التقاؤها مع توال وشدّة,ص ك
صل,صلل,امتساك في الأثناء بامتداد مع دقة جرم أو رقة وحدة أثر,ص ل
صل,صلو,لين أثناء الشيء أو رخاوتها من الداخل مع تماسك ما؛ فيمكن التصرف فيه,ص ل
صل,وصل,اشتباك شيء بشيء، أي ضم شيء إلى شيء حتى يعلقه,ص ل
صل,أصل,امتداد في العمق يقوم عليه الشيء ويمتد منه إلى الأعلى,ص ل
صل,صلب,شدة الشيء؛ بمعنى تماسكه الشديد مع امتداده,ص ل
صل,صلح,سلامة جسم الشيء والتئامه على حاله الأصلية تام النفع أو الخير الذي أوجد أو أريد له,ص ل
صل,صلد,تصلب الشيء تمام الصلابة مع ملاسة سطحه بحيث لا ينفذ منه شيء,ص ل
صم,صمم,انسداد سموم الشيء بالنفاذ فيها بغلظ واستواء ظاهره بذلك ويلزمه اشتداده,ص م
صم,صوم,توقف أو وقوف وقيام عن الحركة والامتداد المعتاد,ص م
صم,صمت,احتشاء أثناء الشيء فلا ينفذ منه شيء,ص م
صم,صمد,ارتفاعٌ مُقارِبٌ مع غِلَظ ومع اكتناز الأثناء (إصماتها),ص م
صم,صمع,أن ينضم في الشيء ما شأنه أن ينتبر أو يتفرع منه,ص م
صن,صنن,احتواء في الجوف متمكن أو دائم (على غلط),ص ن
صن,صنو,تعدد التفرع من أصل واحد,ص ن
صن,صنع,جمع أو تحصيل في هيأة جديدة ( أو تعظيم نفس الهيأة) بتدبير واحتيال أو إحكام,ص ن
صن,صنم,جمع الشيء أمورًا دِقاقا أو خفية مع دوام واستواء ظاهر,ص ن
صهـ,صهـر,تميع الجامد المتماسك وذوبانه (بحرارة تبلغ ذلك),ص هـ
ضو,ضوأ,أشعة تنفذ من شيء وتنتشر فتزيل كثافة الظلام والإعتام,ض و
ضب,ضبب,غِشْيَانٌ أو ضم بكثافة حاجبَةٍ ولُزُومٍ,ض ب
ضب,ضبح,إخراج القوة الكامنة في أثناء الشيء أو إذهابها,ض ب
ضج,ضجج,حدّة تُذيب اللصوق والتماسك,ض ج
ضج,ضجع,استلقاء أو انطراح بِثِقَل يُريح,ض ج
ضح,ضحح,انبساط مع شفافية ورقة، أي عدم كثافة أو تراكم,ض ح
ضح,ضحو,انكشاف الشمس وانبساط الضوء انبساطًا شاملًا بلا ساتر,ض ح
ضح,ضحك,بروز الشيء أبيض واضحًا من بين ما يكتنفه ملتئمًا عليه,ض ح
ضد,ضدد,امتلاء جوف الشيء أشد امتلاء,ض د
ضر,ضرر,زَحْم ودفع للممتلئ برخو يلزمه التضييق أو النقص,ض ر
ضر,ضور,فراغ جوف الشيء الغَضّ,ض ر
ضر,ضرب,غِلَظ يخالط الشيءَ الرِخْوَ أو يداخله مداخلة قوية,ض ر
ضر,ضرع,رخاوة أو رقّة بالغتان مع تدل أي دُنُو ومقاربة,ض ر
ضز,ضزز,تضاغط الشيء واكتنازه مع حدة أو صلابة في أثنائه,ض ز
ضز,ضوز,مَضْعٌ مع ضغط وزَحْم، أو اكتناز,ض ز
ضع,ضعع,هَدمُ الناتئ الغليظ حتى يستوي بالأرض,ض ع
ضع,ضوع,بُعدُ الشيء أو انتشاره بعيدًا عن المتناول,ض ع
ضع,وضع,الهُوي بالشيء إلى مقر منخفض يثبت فيه,ض ع
ضع,ضعف,١. مفارقة الغِلَظ والقوة. ٢. غليظ في أثناء الشيء مماثل له.,ض ع
ضغ,ضغغ,وَفْرَةُ ما يُحتاج إليه في العيش مع رخاوة ما,ض غ
ضغ,ضغث,جمع بضغط لقضبان غضة كثيرة ممتدة بعضها مع بعض,ض غ
ضغ,ضغن,غُور أو امتداد في داخل جرم كثيف,ض غ
ضف,ضفف,التجمع على الشيء حوله,ض ف
ضف,ضوف,انعطاف الشيء وميله إلى شيء ركونًا أو تحيزًا,ض ف
ضف,ضفد,ضَغْط بصدم من الخلف,ض ف
ضف,ضفدع,تجمع الشيء متقبض الجرم ملازمًا لأثناء شيء,ض ف
ضق,ضيق,نقص فراغ الحيز من تضام جوانب محيطه,ض ق
ضل,ضلل,غياب الشيء في أثناء شيء حتى لا يتميز هذا من ذاك,ض ل
ضم,ضمم,الجمع بضغط ولأم قوي يستوي به ظاهر الأشياء المجموعة,ض م
ضم,ضمر,استرسال تضام الجرم بعضه في بعض مشتدًا وذهاب الرخاوة,ض م
ضن,ضنن,لزوم الشيء حيزه أي بقاؤه داخله لا يبرحه,ض ن
ضن,وضن,تَدَاخُل بكثافة، أو احتواء,ض ن
ضن,ضأن,تكاثف رخو يمتد في باطن الشيء,ض ن
ضن,ضنك,اكتناز جَوْفِ الشيء بلين أو رخو يمتسك فيه,ض ن
ضهـ,ضهأ,خلو الشيء مما يتميز به عن غيره,ض هـ
طو,طوى,ثني الشيء وإدخال بعضه في بعض,ط و
طو,وطأ,الدوس بثقل الحمل كله على الشيء,ط و
طب,طبب,التلطف والاحتيال في جبر خلل الشيء أو تسويته,ط ب
طب,طيب,لطف وقع الشيء على الحس وخلوه من الغلظ,ط ب
طب,طبع,جعل المادة اللينة على هيئة معينة مع تسوية ظاهرها,ط ب
طب,طبق,تغطية أعلى الشيء أو جانبه بمحكم وثيق على قدره,ط ب
طح,طحح,انبساط الجرم شديدًا عن ضغط شديد يسحقه,ط ح
طح,طحو,انبساط جرم الشيء بامتداد من دفع بضغط شديد,ط ح
طد,طود,ارتفاع الجبل صُعُدًا في السماء,ط د
طر,طرر,امتداد جرم الشيء مستدقًا مع رقة ما,ط ر
طر,طرو,غضاضة ولين مع تخلخل في الشيء المتجمع,ط ر
طر,طور,الامتداد حول الشيء أو بإزائه,ط ر
طر,طير,انتشار الشيء من مقره مرتفعًا في الهواء بخفة,ط ر
طر,وطر,حاجة أو رغبة محدودة في شيء ما,ط ر
طر,طرح,ابتعاد الشيء أو إبعاده مسافة عظيمة بدفع أو قوة,ط ر
طر,طرد,إبعاد أو ابتعاد عن الحيز بتتابع ودفع قوي من الخلف,ط ر
طر,طرف,النهاية الدقيقة للشيء الممتد مع الرقة,ط ر
طر,طرق,امتداد الشيء الغض الأثناء طولًا بقوة داخلية أو ضغط يسويه,ط ر
طع,طعع,لين الشيء ويُسر تناوله كشطًا بأدنى ضغط,ط ع
طع,طوع,ليونة الشيء وتأتيه لما يراد منه,ط ع
طع,طعم,ما يدخل من الفم إلى الجوف غذاء للبدن فيشبعه,ط ع
طع,طعن,نفاذ حاد دقيق أو بحدة في مادة قريبة لينة,ط ع
طغ,طغو,ارتفاع الشيء باستغلاظ وتجاوز حتى يغشى ويغطي ما حوله,ط غ
طف,طفف,زيادة محدودة القدر ارتفاعية أو جانبية يصل بها الشيء لكماله,ط ف
طف,طوف,غشيان الشيء بغلظ أو قوة يعم حدوده أو أعلاه,ط ف
طف,طفأ,خمود النار بانقطاع ما يخرج منها من لهب وحرارة,ط ف
طف,طفق,الإمساك أو العلوق بجوف الحيز,ط ف
طف,طفل,تولد الشيء عن أصله فيستقل عنه صغير الجرم رقيقًا أو ضعيفًا,ط ف
طق,طوق,الإحاطة التامة بالشيء في الوسط بقوة,ط ق
طل,طلل,إشراف الشيء مع لطف وملازمة أو امتداد لمخالطة ما هو دونه,ط ل
طل,طول,تمدد الشيء أو امتداده متماسكًا,ط ل
طل,طلب,استجلاب الشيء من بعيد,ط ل
طل,طلح,غلظ مع امتداد,ط ل
طل,طلع,نفاذ إلى أعلى من أثناء حاجز رقيق,ط ل
طل,طلق,تسيب ما كان محبوسًا في حوزة أو جوف مندفعًا منها بقوة,ط ل
طم,طمم,ملء فجوة الشيء المفتوحة إلى أعلى بغليظ أو كثيف,ط م
طم,طمث,ثقل الشيء بحدوث ما يذهب أو يعوق خفته أو رقته,ط م
طم,طمس,طم الظاهر من الأثر الدقيق أو الحاد وتغطيته,ط م
طم,طمع,محاولة الإطباق على الشيء وضمه مع تهيّؤ يقوي الرجاء في ذلك ,ط م
طم,طمن,غؤور أو انخفاض في ما شأنه الارتفاع أو الاستواء,ط م
طن,طنن,تكتل باكتناز باطن أو أثناء بما هو غير صلب أو مصمت,ط ن
طن,طين,تراب يخالط أثناءه ماء فيجعله كتلة لينة متماسكة قابلة للتشكيل,ط ن
طن,وطن,مكان للحي يخصه يستقر ويأوي إليه,ط ن
طهـ,طهـطهـ,حسن الشيء وكمال حاله على ما يعجب منه,ط هـ
طهـ,طهـر,نقاء الشيء مما يتأذى به أو انقطاع قذى الشيء,ط هـ
ظع,ظعن,انتقال أهل البادية فيها من ناحية إلى أخرى بعيدة,ظ ع
ظف,ظفف,جمع أو شدّ بكثافة من خارج,ظ ف
ظف,ظفر,تغطية الطرف الدقيق بصلب أو قوي,ظ ف
ظل,ظلل,حجب (أشعة) الشمس أو غيرها بكنٍّ يحمي ما وراءه أو تحته,ظ ل
ظل,ظلم,حجب ما ينبغي أو ما يُستحق، أي منعه أو انتقاصه,ظ ل
ظم,ظمأ,ذهاب الرطوبة والندى من باطن الشيء واضطمامه على هذا الجفاف,ظ م
ظن,ظنن,توقع وجود شيء مهم في باطنٍ لأمارة قوية على ذلك,ظ ن
ظهـ,ظهـر,بروز من أثناء أو باطن إلى سطح مع شدة وغلظ أو قوة,ظ هـ
عي,عيي,ضعف ينال حقيقة الشيء رغم تماسكه، أو عدم نقصه الظاهري,ع ي
وع,وعي,حوز الشيء في جوفه ما يتجمع فيه حتى يمتلئ به,و ع
عب,عبب,تجمع المائع - أو الرخو - غزيراً متراكماً في حيز، أو جوف,ع ب
عب,عبأ,ملء - أو جمع - في حيز بتقدير وقوة,ع ب
عب,عيب,فراغ في أثناء الشيء مع التحام ظاهره,ع ب
عب,عبث,خلط أجناس شتّى بلا قصد تناسب,ع ب
عب,عبد,حصر شديد للشيء يجعله رقيقًا رخوا ناعما غير صلب,ع ب
عب,عبر,انتقال - أو انتشار - من حيّز إلى آخر بقوة ولطف,ع ب
عب,عبس,جهامة في الوجه تملأ النفس وحشة,ع ب
عب,عبق,لزوق الشيء بأثناء الشيء,ع ب
عب,عبقر,وثارة الشيء وطراءته على أحسن ما يطلب فيه,ع ب
عت,عتت,شدة بناء - أو بنية - مع امتداد,ع ت
عت,عتو,امتداد الشيء مادةً - أو بقاءً - في صلابة أو تماسك دقيق,ع ت
عت,عتب,اعتراض مرتفع بغلظ، أو غلظ يعترض في المرتفع,ع ت
عت,عتد,توافر الشيء في المتناول، أي كونه حاضرًا كافيًا مهيأ,ع ت
عت,عتق,نهود الشيء خالصاً من بين ما يغمره قوياً بالغاً كمال حاله,ع ت
عت,عتل,قلع الغليظ الثقيل، أو نقله,ع ت
عث,عثث,انتشار الدقاق متسيبة بعد أن كانت منتظمة مع غلظ ما,ع ث
عث,عثو,تشعث وجفاف - أو هيج,ع ث
عث,عثر,إثارة الراسخ بالأرض من تراب ونحوه صدمًا بالقدم بلا قصد,ع ث
عج,عجج,تجمع الشيء بحجم أو هيئة عظيمة لكنه غير صلب ولا مصمت,ع ج
عج,عوج,انحناء الجرم اللطيف الممتد,ع ج
عج,عجب,غرابة حال الشيء لكونه دقيقًا شديدًا مغمورًا برخو,ع ج
عج,عجز,رخاوة المجتمع في أسفل الشيء وطراءته,ع ج
عج,عجف,ذهاب الطراءة والامتلاء وانقطاعها من الجرم مع تماسكه,ع ج
عج,عجل,سبق بتحصيل الشيء قبل وقته,ع ج
عج,عجم,امتساك الشيء في ذاته - أو بين غيره - متداخلاً منضغطاً شديداً,ع ج
عد,عدد,توالي جنس الشيء متصلاً فيكثر,ع د
عد,عدو,متخطّى بطن - أو فجوة - في ظاهر,ع د
عد,عود,استمرار الشيء امتدادًا، أو تكررًا وتجددًا,ع د
عد,وعد,احتواء على شيء مستقبلي زائد عن الحال,ع د
عد,عدس,احتواء الأثناء على دقاق صلبة,ع د
عد,عدل,موازنة ثقل في جانب بثقل في جانب آخر حتى يتزنا,ع د
عد,عدن,لزوم الشيء جوفًا - أو حيزًا - بثبات ودوام,ع د
عذ,عوذ,التصاق الشيء الغض بصلب يمنع تناوله,ع ذ
عذ,عذب,نفاذ كثافة الشيء أو حدته المنبتة فيه إلى ظاهره أو طرفه,ع ذ
عذ,عذر,اعتراض ما يحول دون المعتاد من نفاذ أو سير أو رؤية,ع ذ
عر,عرر,نقص - أو جرد - من ظاهر الشيء، أو عن ظاهره؛ فيبرز,ع ر
عر,عرو,إمساك - أو امتساك - للظاهر بتمكن,ع ر
عر,عرى,تجرد جسم الشيء مما يغشاه، أو شأنه أن يغشاه,ع ر
عر,عور,فراغ - أو فرجة - طارئة في سطح ظاهر شيء تكشف عن باطنه,ع ر
عر,عير,صلب يمتد ناتئًا بين الرقيق أو الضعيف حوله فيدعمه ويشده,ع ر
عر,عرب,نشاط وانطلاق بحدة ذاتية للخلوص مما يحبس,ع ر
عر,عرج,نشوز - أو عوج - عن الاستواء في الاطراد: إلى الأعلى، أو الجانب,ع ر
عر,عرجن,ما يتدلى من النخل تتفرع منه عثاكيل تحمل ثمره,ع ر
عر,عرش,تفرع وانفراش يمتسك مشتبكاً في أعلى,ع ر
عر,عرض,اتساع ما يواجه الناظر من الشيء الكثيف,ع ر
عر,عرف,تتابع - أو امتداد - في أعلى الشيء لما يميزه، أو يدل عليه,ع ر
عر,عرم,تراكم ظاهري من الغثاء، أو ما يلحق به – مع استواء ظاهره,ع ر
عز,عزز,تماسك الجرم الرخو أو المتسيب حتى يبلغ الشدة والصلابة التامة,ع ز
عز,عزو,ربط الشيء شديدًا بآخر,ع ز
عز,عزب,ابتعاد عن المقر الأصلي إلى مستقر بعيد دون انقطاع عنه,ع ز
عز,عزر,شدة - أو متانة - مسترسلة (امتدادًا أو دوامًا) تمنع الفناء,ع ز
عز,عزل,تنحي الشيء عن موضعه إلى موضع آخر,ع ز
عز,عزم,دوام الاشتداد بلا رخاوة برغم ما يثني عن ذلك,ع ز
عس,عسس,نفاذ في الكثيف - أو منه - مع صعوبة,ع س
ع,عسو,قرب الشيء، وتهيؤه لحصول ما يراد به، مع صلابة ما,ع s
ع,عسر,صعوبة النفاذ في الباطن، أو منه,ع s
ع,عسل,اضطراب جرم الشيء في امتداده مع تماسكه,ع s
عش,عشش,تداخل دقاق القش ونحوه نسيجةً تقوم حيزًا لطيفا,ع ش
عش,عشو,غشاء من الظلمة يعشى الأفق يحجب الرؤية جزئيًا,ع ش
عش,عيش,الحياة الحيوانية بما تقتضيه من اغتذاء ونمو وحركة وسعي,ع ش
عش,عشر,تجمع أو كثرة بتداخل أشياء أو اختلاطها مكونة كيانًا مترابطًا,ع ش
عص,عصص,صلابة الشيء - أو شدّته - ملتحمًا,ع ص
عص,عصو,امتداد الشيء في صلابة وغلظ بحيث لا ينثني,ع ص
عص,عصب,شد أشياء - أو أثناء - شيء معًا بممتد متين,ع ص
عص,عصر,ضغط بالإحاطة بشداد بالغة الصلابة والثقل,ع ص
عص,عصف,قشر وإذهاب بقوة لما هو نحو الغلاف أو اللحاء للحب والزرع,ع ص
عص,عصم,امتساك (طبقة كثيفة) بظاهر شيء بشدة,ع ص
عض,عضض,الضغط بشدة على جرم الشيء بين الأسنان ونحوها,ع ض
عض,عضو,تجزؤ بتوفر، أي في أجزاء عظيمة موفرة، لا دقيقة,ع ض
عض,عضد,اكتناف الشيء بغليظ قوي يشدّه ويمتد بجانبيه,ع ض
عض,عضل,غلظ مع نشوب في الموضع أو تجمع غليظ لا ينصرف,ع ض
عط,عطط,امتداد الشيء مع غلظه,ع ط
عط,عطو,تمطط الشيء وامتداده للتناول,ع ط
عط,عطف,ثني الممتد إلى غير وجهة بدء امتداده,ع ط
عط,عطل,تجرد الشيء الممتد مما هو زائد لكمال النفع أو الزينة,ع ط
عظ,عظظ,نكوص الشيء عن التقدم أو الاستقامة متراجعًا على نفسه,ع ظ
عظ,وعظ,(كلام أو عمل) يُنبّه به الإنسان إلى عواقب ما يفعله,ع ظ
عظ,عظم,غلظ جسامة، أو صلابة,ع ظ
عف,عفف,تجمع (على الظاهر) مع قلة,ع ف
عف,عفو,تغطي الشيء بطبقة خفيفة أو هشة,ع ف
عف,عفر,انبعاث (عند الاستثارة) بحدة وجفاف، أو تفرق,ع ف
عق,عقق,شق الشيء وخروج غليظ باطنه منه,ع ق
عق,عوق,اعتراض الأطراد والاستقامة بالتواء، أو حيود,ع ق
عق,عقب,لحاق غليظ بآخر الشيء، أو خلفه، ينغمس فيه فيمتد معه,ع ق
عق,عقد,امتساك وتحبس يبلغ الأثناء شديدًا,ع ق
عق,عقر,جمود الشيء أو ثباته على حاله فلا ينمو ولا ينتقل,ع ق
عق,عقل,حوز في جوف حصين حبساً، بحيث لا يذهب أو يضيع,ع ق
عق,عقم,يبس باطن الشيء واشتداده معًا فلا يتسيب أو يتحرك منه شيء,ع ق
عك,عكك,حبس - أو جمع - في حيز ضيق، مع حدة وكثافة,ع ك
عك,عكف,حبس ما شأنه الانتشار بشيء يعطفه (أي يرده),ع ك
عل,علل,تكرار أو توال (يلزمه التراكم) مع رقة ما,ع ل
عل,علو,ارتفاع الشيء فوق شيء تحته، أو أدناه,ع ل
عل,عول,رفع الثقل إلى أعلى بنوع من التلطف، أو الاحتيال,ع ل
عل,علق,نشوب - أو امتساك - مع ارتفاع وغلظ ما,ع ل
عل,علم,الدلالة والهداية - بمرتفع - إلى معنى: اتجاه، أو طريق، أو حدّ,ع ل
عم,علن,ظهور ما كان خفيًا في الباطن، أي خروجه منه مع انكشاف وإشهار,ع م
عم,عمم,كثرة - أو اجتماع - مع ارتفاع والتحام علوي,ع م
عم,عمى,احتجاب الرؤية بطبقة كثيفة فوقية عامة، أو واسعة,ع م
عم,عوم,طفو باتساع مع جريان ونحوه إلى غاية,ع م
عم,عمد,شديد يمتد في أثناء الشيء فينتصب به الشيء,ع م
عم,عمر,شغل فراغ الأثناء بمناسب يثبتها، أو يبرز نفعها ويديمه,ع م
عم,عمق,بعد قعر باطن الشيء، أو بعد امتداد غوره,ع م
عم,عمل,جهد مادي (من حي، أو جماد) يؤدي إلى إحداث شيء، أو هيأة,ع م
عم,عمه,خلو الشيء من أثر مميز (أو: الخلو من التمييز والبيان، أو الهداية),ع م
عن,عنن,اعتراض الشيء في المواجهة مع حبس، أو احتباس ما، دون أساس,ع ن
عن,عنو,احتباس قوي مع ظهور أثر للمحتبس,ع ن
عن,عون,مدد زائد - أو امتداد - من قوة في الباطن (أو من الخارج),ع ن
عن,عين,دائرة ينفذ منها لطيف لامع دائم الجريان عن مختزن كثير,ع ن
عن,عنب,صفاء الممتلئ المستدير مع امتداد ما,ع ن
عن,عنت,كسر - أو نحوه، أو فساد بحدة - في جرم الشيء الممتد,ع ن
عن,عند,الاستمرار في بذل الشيء أو إتيانه رغم توقع التوقف,ع ن
عن,عنق,نتوء قوي دقيق يمتد نافذًا من شيء أجسم أو أغلظ,ع ن
عن,عنك,تماسك الدقيق المتسيب وتراكمه حتى يكثف ويكون عقبة يصعب النفاذ,ع ن
عن,عنكبوت,نسيج في الهواء متسع الأثناء من خيوط جد دقيقة,ع ن
عه,عهه,فراغ من الندى والرقة,ع ه
عه,عهد,تكرر العود إلى موقع بعينه على فترة بين المرة والأخرى,ع ه
عه,عهن,رقة - أو ضعف - يتخللان أثناء الشيء الممتد؛ لذهاب الغلظ والصلابة منه,ع ه
غو,غوى,الانجذاب إلى الشيء مع تغشٍّ وفساد,غ و
غب,غبب,غياب الشيء أو غئوره بين ما يحيط به,غ ب
غب,غيب,الاختفاء استتارًا بكثيف في أثناء أو عمق,غ ب
غب,غبر,بقاء مادة دقيقة أو قليلة بعد ذهاب معظم الشيء,غ ب
غب,غبن,غؤور (نقص وفراغ) مستتر يمتد في جِرم الشيء,غ ب
غث,غثث,فساد مادة متجمعة,غ ث
غث,غثو,تجمع ما هو هش فاسد أو عديم النفع على هيئة طبقة,غ ث
غث,غوث,الصياح طلبًا لتفريج شِدّةٍ نازلة,غ ث
غث,غيث,ماء ينتشر مطرًا أو يتوالى من كثرته,غ ث
غد,غدد,عُقدة صلبة في بدن الحي تتكون أصلًا من لحم رخو,غ د
غد,غدو,ظهور ضوء الصباح متزايدًا بعد الظلام,غ د
غد,غدر,تَخلُّف مائع أو رخو عن المصدر أو الأصل فيمتد ويبقى,غ د
غد,غدق,شِبَعُ باطن الشيء وأعماقه بالري ماءً أو رخاوةً,غ د
غر,غرر,غؤور (عارض) بدقة وامتداد مع غضوضة (طراءة),غ ر
غر,غرو,لصوق مع رخاوة واسترسال,غ ر
غر,غور,تجويف قوي يمتد متعمقًا في أثناء شيء,غ ر
غر,غير,تحول الشيء لحدة تخالطه تحولًا تامًا أو كالتام,غ ر
غر,غرب,انصباب (انحدار) إلى مقرّ عبر مسافة بثقل أو قوة,غ ر
غر,غرف,رَفْع جزئي بلطف من مَقَرٍّ عميق (للأخذ أو الاحتياز),غ ر
غر,غرق,رسوب إلى عُمق مائع أو تغلغل مائع في أثناء العمق,غ ر
غر,غرم,ملازمة الشيء للشيء وملازمته إياه,غ ر
غز,غزز,شق أو نفاذ بحدة ودقة,غ ز
غز,غزو,نشوب الشيء في باطن أو قراره فيه رغم عدم اعتياده,غ ز
غز,غزل,تحول الهش إلى شيء ممتد متين متميز,غ ز
غس,غسس,نفاذ الشيء في المائع قليل الكثافة بقوة,غ س
غس,غسق,سيلان ما في عمق الشيء من مائع فاسد,غ س
غس,غسل,إزالة ما علق بالشيء من دَرَن بمائع يقلعه,غ س
غش,غشش,شَوْبُ الصافي الرقيق بما ينتشر فيه ويجعله كثيفًا,غ ش
غش,غشو,تغطية الشيء بكثيف يعمه,غ ش
غص,غصص,نشوب الشيء في منفذه لغلظه أو ضيق ممره,غ ص
غص,غوص,نفاذ الكتلة الغليظة في عمق ماء كثيف إلى قاعه,غ ص
غص,غصب,نزع للشيء من منبته أو مقره بغلظ وقوة أو قهر,غ ص
غض,غضض,رخاوة الشيء الكثيف (الثخين) وطراءته,غ ض
غض,غيض,غئور المائع ونحوه في باطن بكثافة حتى ينفد أو ينقص,غ ض
غض,غضب,انضمام الشيء على غليظ أو حاد في باطنه يظهر أثره,غ ض
غط,غطط,دس الشيء في مائع بدفع وغلظ حتى يغطيه,غ ط
غط,غطو,سَتْرٌ بما هو كالغشاء الكثيف عريضًا,غ ط
غط,غوط,غئور في شيء غليظ (كالأرض) منبسط عرضًا أو طولًا,غ ط
غط,غطش,كثافة واسعة تحجب الرؤية,غ ط
غظ,غظغظ,غليان ما في جوف الشيء غليانًا شديدًا,غ ظ
غظ,غيظ,حَمِيّ وحِدّة شديدة تمتد في جوف الشيء فتعمّه,غ ظ
غف,غفف,قِلَّةُ ما يبقَى أو يتحصل في قاع الوعاء أو الظرف,غ ف
غف,غفر,تغطية أو ستر يُقصد به الحماية وما إليها,غ ف
غف,غفل,الخلو مما يَلْفِتُ ويُنَبِّه أو يدلّ,غ ف
غل,غلل,تخلل بحدة أو قوة مع إحاطة أو تقييد,غ ل
غل,غلو,زيادة تضخمية أو طولية مع حدة ما,غ ل
غل,غلى,الغليان وهو بلوغ حرارة الشيء أعلاها وتقلبه,غ ل
غل,غول,أَخْذٌ بإخفاء في العُمق أو البَاطِن بحدة واستبقاء,غ ل
غل,غلب,شدَّةٌ مع عُلُوّ ما وعِظَمِ جِرم,غ ل
غل,غلظ,عِظَمُ الجِرم وتَجَسُّمُه مع صلابة,غ ل
غل,غلف,تغطية الشيء بغطاء يحجبه ويحجب عنه ما حوله,غ ل
غل,غلق,منع الاقتحام والمخالطة لحدة ظاهرة,غ ل
غل,غلم,خشونة أو جفاء في ظاهر الشيء يُنبئ عن تمام قوة باطنه,غ ل
غم,غمم,غشاء علوي يحجب ما يغشاه عما يتأتى منه,غ م
غم,غمر,التغطي بنحو الماء والتراب بالحصول في عُمقه,غ م
غم,غمز,دفع وضغط بنحو الإصبع دقّةً في ظاهر الشيء إلى الداخل,غ م
غم,غمض,غئور ظاهر الشيء بغلظ وقوّة حتى يخفى ويستتر,غ م
غن,غنن,امتلاء الظَّرْفِ أو المكان أي ازدحامه بلطيف يظهر وجوده,غ ن
